#Meteorological data for Loobos (from PALS), 1997-.
#1 years of 30 minute data.
#    Down  Down      Rainfall      Snowfall     Air       Wind                 Specific
#    SWR   LWR        rate           rate      temp.      speed     Pressure   humidity
# (W m-2) (W m-2)  (kg m-2 s-1) (kg m-2 s-1)   (K)       (m s-1) )   (Pa)      (kg kg-1)
   35.5  238.5     0.000e+00     0.000e+00   264.970     2.923     100999.0   1.929e-03
   47.7  238.1     0.000e+00     0.000e+00   264.880     2.847     100998.9   1.903e-03
   84.5  238.7     0.000e+00     0.000e+00   265.060     2.880     100999.1   1.920e-03
  153.9  239.0     0.000e+00     0.000e+00   265.250     3.570     100999.4   1.893e-03
  227.6  238.0     0.000e+00     0.000e+00   265.070     3.507     100999.1   1.803e-03
  333.0  238.1     0.000e+00     0.000e+00   265.280     0.820     100999.4   1.713e-03
  315.3  238.0     0.000e+00     0.000e+00   265.310     3.693     100999.4   1.680e-03
  261.1  238.2     0.000e+00     0.000e+00   265.380     3.390     100999.5   1.691e-03
  206.2  238.9     0.000e+00     0.000e+00   265.490     3.470     100999.6   1.755e-03
  147.7  238.2     0.000e+00     0.000e+00   265.290     3.570     100999.4   1.727e-03
   92.4  237.4     0.000e+00     0.000e+00   265.040     2.880     100999.1   1.696e-03
   34.2  237.1     0.000e+00     0.000e+00   264.880     2.923     100998.9   1.729e-03
    1.2  236.1     0.000e+00     0.000e+00   264.510     2.556     100998.4   1.729e-03
    0.0  235.4     0.000e+00     0.000e+00   264.230     2.507     100998.1   1.738e-03
    0.0  235.8     0.000e+00     0.000e+00   264.260     2.507     100998.1   1.780e-03
    0.0  235.9     0.000e+00     0.000e+00   264.260     2.507     100998.1   1.811e-03
    0.0  236.1     0.000e+00     0.000e+00   264.270     2.497     100998.1   1.836e-03
    0.0  235.8     0.000e+00     0.000e+00   264.170     2.476     100998.0   1.833e-03
    0.0  235.1     0.000e+00     0.000e+00   263.950     2.384     100997.8   1.812e-03
    0.0  234.9     0.000e+00     0.000e+00   263.860     2.379     100997.6   1.814e-03
    0.0  235.6     0.000e+00     0.000e+00   264.060     2.413     100997.9   1.851e-03
    0.0  237.7     0.000e+00     0.000e+00   264.660     2.567     100998.6   1.942e-03
    0.0  239.5     0.000e+00     0.000e+00   265.170     2.577     100999.3   2.024e-03
    0.0  241.0     0.000e+00     0.000e+00   265.590     2.565     100999.8   2.095e-03
    0.0  242.2     0.000e+00     0.000e+00   265.920     2.614     101000.2   2.152e-03
    0.0  242.8     0.000e+00     0.000e+00   266.090     2.661     101000.4   2.181e-03
    0.0  243.3     0.000e+00     0.000e+00   266.220     2.643     101000.5   2.203e-03
    0.0  243.7     0.000e+00     0.000e+00   266.340     2.600     101000.7   2.217e-03
    0.0  243.8     0.000e+00     0.000e+00   266.460     2.548     101000.8   2.182e-03
    0.0  243.8     0.000e+00     0.000e+00   266.500     2.535     101000.9   2.162e-03
    0.0  243.9     0.000e+00     0.000e+00   266.530     2.537     101000.9   2.167e-03
    0.0  244.5     0.000e+00     0.000e+00   266.680     2.487     101001.1   2.189e-03
    0.0  245.1     0.000e+00     0.000e+00   266.860     2.445     101001.3   2.220e-03
    0.0  245.6     0.000e+00     0.000e+00   267.010     2.242     101001.5   2.232e-03
